ProductCode,ProductName,Price,JDQName
04C3PC,G5Plus Extended Monitor," $1,305.15 ",
070FPC,4640 UNIVERSAL DISPLAY - 10.1," $6,541.15 ",
0710PC,4240 UNIVERSAL DISPLAY - 8.4," $4,231.15 ",
3199,4240 Universal Display (less AutoTrac Activation)," $1,921.15 ",
072EPC,GEN 4 EXTENDED MONITOR," $1,155.00 ",
0813PC,Gen 4 - 4600 Server 2.0   (Upgrade), $654.50 ,
0812PC,Upgrade Kit from 4100 to 4600 processor," $3,126.20 ",
0706PC,GREENSTAR 3 DISPLAY 2630," $4,539.15 ",
1040PC,STARFIRE 7500 Universal with SF1 (base)," $3,311.00 ",
2021,STARFIRE 7500 with SF/RTK 1 year license," $4,466.00 ",
2023,STARFIRE 7500 with RTK Permanent License (factory order)," $5,775.00 ",
1111PC,PERMANENT RTK LICENCE FOR INTEGRATED SF7500," $4,235.00 ",
1021PC,PERMANENT RTK LICENCE FOR INTEGRATED SF7000," $4,235.00 ",
0908PC,STARFIRE 6000 - SF1 READY," $2,999.15 ",
0908PC,STARFIRE 6000 - SF3 READY," $6,079.15 ",
2250PC,AUTO TRAC UNIVERSAL 300," $1,305.15 ",
0580PC,AUTOTRAC CONTROLLER 250  (NEW)," $2,579.50 ",
052RPC,AUTOTRAC CONTROLLER - RAVEN," $1,809.50 ",
052TPC,AUTOTRAC CONTROLLER - REICHHARDT," $3,888.50 ",
0330PC,GREENSTAR RATE CONTROLLER," $1,228.15 ",
0481PC,Surface Water Pro Plus Activation - GS2,,
0483PC,SURFACE WATER PRO PLUS ACTIVATION GS3,,
0311PC,iGRADE ACTIVATION ,,
0484PC,Surface Water Pro Upgrade to Surface Water Pro Plus Activation - GS2,,
0485PC,Surface Water Pro upgrade to Surface Water Pro Plus Activation - GS3,,
0271PC,APPLICATION CONTROLLER,,
,G5 Advanced - 7/8/9 Series Tractor 1-year License, $500.50 ,
,G5 Advanced - 7/8/9 Series with SF-RTK 1-year License," $1,116.50 ",
,G5 Advanced - 6 Series Tractor 1-year License, $500.50 ,
,G5 Advanced - S700/S7/X9 Combine 1-year License, $500.50 ,
,G5 Advanced - S700/X9  Combine with SF-RTK 1-year License, $916.30 ,
,G5 Advanced - Self-Propelled Application 1-year License, $500.50 ,
,G5 Advanced - Self-Propelled Application with SF-RTK 1-year License," $1,116.50 ",
,G5 Advanced - Self-Propelled Forage Harvester 1-year License, $250.00 ,
,G5 Advanced - Universal 1-year License, $577.70 ,
,Gen 4 Premium 3.0, $850.00 ,
,Gen 4 Automation 4.0," $1,350.00 ",
,"G5 Advanced (AutoTrac, Data Sync, OTA updates, RDA, AutoPath, ATTA, In-Field Sharing, Mach sync", $500.50 ,
,G5 Advanced (add to above:  SF-RTK), $916.30 ,
,G5 Premium (add to above: Harvest Settings Automation)," $1,570.80 ",
,G5 Ultimate (add to above: Predictive Ground Speed Automation & Harvest IPM)," $3,811.50 ",
